"United States"
"Category","dot_nsig","Mean performance","line","Best-fitting trend","x_maths","x_reading","x_scie","OECD Average (23 countries)"
"2009.5",,,486.39157,478.95593,,,,501.17001
"2009.75",,,485.8891,478.76767,,,,500.92053
"2010",,,485.3866,478.57941,,,,500.67108
"2010.25",,,484.88412,478.39114,,,,500.4216
"2010.5",,,484.38165,478.20285,,,,500.17212
"2010.75",,,483.87918,478.01459,,,,499.92267
"2011",,,483.37671,477.82632,,,,499.67319
"2011.25",,,482.87421,477.63803,,,,499.42374
"2011.5",,,482.37173,477.44977,,,,499.17426
"2011.75",,,481.86926,477.26151,,,,498.9248
"2012",,481.36679,481.36679,477.07324,515.35278,,,498.67532
"2012.25",,,480.38861,476.88495,,,,498.41232
"2012.5",,,479.4104,476.69669,,,,498.14935
"2012.75",,,478.43222,476.50842,,,,497.88635
"2013",,,477.45401,476.32013,,,,497.62335
"2013.25",,,476.47583,476.13187,,,,497.36038
"2013.5",,,475.49762,475.9436,,,,497.09738
"2013.75",,,474.51944,475.75531,,,,496.83438
"2014",,,473.54126,475.56705,,,,496.57141
"2014.25",,,472.56305,475.37878,,,,496.30841
"2014.5",,,471.58487,475.19052,,,,496.04541
"2014.75",,,470.60666,475.00223,,,,495.78244
"2015",469.62848,,469.62848,474.81396,,,,495.51944
"2015.25",,,470.3465,474.6257,,,,495.58868
"2015.5",,,471.06451,474.43741,,,,495.6579
"2015.75",,,471.78253,474.24915,,,,495.72711
"2016",,,472.50055,474.06088,,,,495.79636
"2016.25",,,473.21857,473.87262,,,,495.8656
"2016.5",,,473.93658,473.68433,,,,495.93481
"2016.75",,,474.65463,473.49606,,,,496.00403
"2017",,,475.37265,473.3078,,,,496.07327
"2017.25",,,476.09067,473.11951,,,,496.14252
"2017.5",,,476.80869,472.93124,,,,496.21173
"2017.75",,,477.5267,472.74298,,,,496.28094
"2018",,478.24472,478.24472,472.55472,,,,496.35019
"2018.25",,,477.40991,472.36642,,,,495.34637
"2018.5",,,476.57513,472.17816,,,,494.34256
"2018.75",,,475.74036,471.9899,,,,493.33875
"2019",,,474.90555,471.80161,,,,492.33493
"2019.25",,,474.07074,471.61334,,,,491.33112
"2019.5",,,473.23596,471.42508,,,,490.3273
"2019.75",,,472.40118,471.23682,,,,489.32349
"2020",,,471.56638,471.04852,,,,488.3197
"2020.25",,,470.73157,470.86026,,,,487.31589
"2020.5",,,469.89679,470.672,,,,486.31207
"2020.75",,,469.06201,470.4837,,,,485.30826
"2021",,,468.2272,470.29544,,,,484.30444
"2021.25",,,467.3924,470.10718,,,,483.30063
"2021.5",,,466.55762,469.91888,,,,482.29681
"2021.75",,,465.72284,469.73062,,,,481.293
"2022",464.88803,,464.88803,469.54236,,,,480.28918
"2001.25",,,,,,,,
"2001.5",,,,,,,,
"2001.75",,,,,,,,
"2002",,,,,,,,
"2002.25",,,,,,,,
"2002.5",,,,,,,,
"2002.75",,,,,,,,
"2003",,,,,,,,
"2003.25",,,,,,,,
"2003.5",,,,,,,,
"2003.75",,,,,,,,
"2004",,,,,,,,
"2004.25",,,,,,,,
"2004.5",,,,,,,,
"2004.75",,,,,,,,
"2005",,,,,,,,
"2005.25",,,,,,,,
"2005.5",,,,,,,,
"2005.75",,,,,,,,
"2006",488.90683,,488.90683,494.16794,,,,502.74365
"2006.25",,,489.99811,494.28394,,,,502.99344
"2006.5",,,491.08942,494.39996,,,,503.24326
"2006.75",,,492.18069,494.51599,,,,503.49304
"2007",,,493.27197,494.63202,,,,503.74286
"2007.25",,,494.36325,494.74805,,,,503.99265
"2007.5",,,495.45453,494.86404,,,,504.24243
"2007.75",,,496.54584,494.98007,,,,504.49225
"2008",,,497.63712,495.0961,,,,504.74203
"2008.25",,,498.72839,495.21213,,,,504.99185
"2008.5",,,499.8197,495.32813,,,,505.24164
"2008.75",,,500.91098,495.44415,,,,505.49146
"2009",502.00226,,502.00226,495.56018,,,,505.74124
"2009.25",,,501.61957,495.67621,,,,505.65704
"2009.5",,,501.23685,495.79224,,,,505.57288
"2009.75",,,500.85416,495.90823,,,,505.48868
"2010",,,500.47144,496.02426,,,,505.40448
"2010.25",,,500.08875,496.14029,,,,505.32031
"2010.5",,,499.70605,496.25632,,,,505.23611
"2010.75",,,499.32333,496.37231,,,,505.15192
"2011",,,498.94064,496.48834,,,,505.06775
"2011.25",,,498.55792,496.60437,,,,504.98355
"2011.5",,,498.17523,496.7204,,,,504.89935
"2011.75",,,497.79251,496.83643,,,,504.81519
"2012",497.40982,,497.40982,496.95242,,,,504.73099
"2012.25",,,497.31253,497.06845,,,,504.08514
"2012.5",,,497.21527,497.18448,,,,503.4393
"2012.75",,,497.11798,497.30051,,,,502.79346
"2013",,,497.02069,497.4165,,,515.35278,502.14761
"2013.25",,,496.9234,497.53253,,,,501.50177
"2013.5",,,496.82611,497.64856,,,,500.85596
"2013.75",,,496.72885,497.76459,,,,500.21011
"2014",,,496.63156,497.88062,,,,499.56427
"2014.25",,,496.53427,497.99661,,,,498.91843
"2014.5",,,496.43701,498.11264,,,,498.27258
"2014.75",,,496.33972,498.22867,,,,497.62674
"2015",496.24243,,496.24243,498.3447,,,,496.9809
"2015.25",,,496.75391,498.46069,,,,496.68771
"2015.5",,,497.26538,498.57672,,,,496.39453
"2015.75",,,497.77682,498.69275,,,,496.10138
"2016",,,498.2883,498.80878,,,,495.8082
"2016.25",,,498.79977,498.9248,,,,495.51501
"2016.5",,,499.31122,499.0408,,,,495.22183
"2016.75",,,499.82269,499.15683,,,,494.92865
"2017",,,500.33417,499.27286,,,,494.63547
"2017.25",,,500.84564,499.38889,,,,494.34229
"2017.5",,,501.35712,499.50488,,,,494.04913
"2017.75",,,501.86856,499.62091,,,,493.75595
"2018",502.38004,,502.38004,499.73694,,,,493.46277
"2018.25",,,502.19467,499.85297,,,,493.30023
"2018.5",,,502.00928,499.96899,,,,493.1377
"2018.75",,,501.82391,500.08499,,,,492.97516
"2019",,,501.63855,500.20102,,,,492.81262
"2019.25",,,501.45316,500.31705,,,,492.65005
"2019.5",,,501.26779,500.43307,,,,492.48752
"2019.75",,,501.08243,500.54907,,,,492.32498
"2020",,,500.89703,500.6651,,,,492.16245
"2020.25",,,500.71167,500.78113,,,,491.99991
"2020.5",,,500.52631,500.89716,,,,491.83737
"2020.75",,,500.34094,501.01318,,,,491.67484
"2021",,,500.15555,501.12918,,,,491.51227
"2021.25",,,499.97018,501.24521,,,,491.34973
"2021.5",,,499.78482,501.36124,,,,491.18719
"2021.75",,,499.59943,501.47726,,,,491.02466
"2022",499.41406,,499.41406,501.59326,,,,490.86212
